iter	Passed	Remaining
0	2	206
1	3	193
2	5	187
3	7	172
4	9	172
5	10	171
6	12	171
7	14	169
8	16	166
9	18	164
10	20	162
11	21	160
12	23	158
13	25	156
14	27	155
15	29	153
16	30	150
17	31	145
18	33	140
19	34	136
20	35	132
21	36	129
22	37	125
23	38	122
24	40	120
25	41	117
26	42	114
27	43	112
28	44	109
29	45	107
30	47	104
31	48	102
32	49	100
33	50	98
34	51	95
35	52	93
36	54	91
37	55	90
38	56	88
39	57	86
40	58	84
41	59	81
42	60	79
43	61	78
44	62	76
45	63	74
46	64	73
47	65	71
48	67	69
49	68	68
50	69	66
51	70	65
52	71	63
53	72	62
54	73	60
55	74	58
56	75	57
57	77	55
58	78	54
59	79	52
60	80	51
61	81	50
62	82	48
63	84	47
64	85	45
65	86	44
66	87	43
67	88	41
68	89	40
69	91	39
70	92	37
71	93	36
72	94	35
73	95	33
74	96	32
75	98	30
76	99	29
77	100	28
78	101	27
79	102	25
80	103	24
81	105	23
82	106	21
83	107	20
84	108	19
85	109	17
86	110	16
87	111	15
88	113	13
89	114	12
90	115	11
91	116	10
92	117	8
93	118	7
94	119	6
95	121	5
96	122	3
97	123	2
98	124	1
99	125	0
