iter	Passed	Remaining
0	290	289913
1	294	146770
2	296	98499
3	297	74165
4	300	59708
5	302	50065
6	311	44154
7	313	38831
8	316	34899
9	319	31597
10	321	28863
11	322	26552
12	323	24588
13	334	23571
14	338	22213
15	342	21060
16	347	20069
17	349	19083
18	351	18174
19	355	17400
20	358	16719
21	362	16100
22	376	16006
23	381	15497
24	390	15223
25	394	14777
26	396	14288
27	398	13817
28	403	13511
29	406	13128
30	408	12766
31	412	12473
32	414	12147
33	425	12077
34	428	11826
35	437	11711
36	440	11454
37	444	11263
38	452	11137
39	454	10914
40	459	10736
41	462	10546
42	464	10339
43	474	10313
44	477	10134
45	479	9942
46	480	9749
47	483	9583
48	486	9439
49	490	9325
50	493	9182
51	495	9031
52	499	8916
53	503	8812
54	504	8672
55	506	8540
56	509	8422
57	512	8315
58	515	8217
59	516	8097
60	518	7978
61	519	7864
62	523	7779
63	526	7693
64	531	7642
65	532	7542
66	535	7452
67	539	7392
68	542	7320
69	544	7239
70	546	7148
71	547	7058
72	557	7076
73	559	7000
74	565	6975
75	569	6925
76	571	6854
77	573	6777
78	574	6700
79	576	6629
80	577	6555
81	590	6607
82	591	6533
83	593	6471
84	600	6464
85	602	6400
86	604	6344
87	606	6288
88	621	6366
89	623	6307
90	629	6289
91	633	6249
92	636	6206
93	638	6156
94	640	6099
95	654	6162
96	662	6163
97	666	6138
98	668	6082
99	677	6098
100	680	6060
101	682	6011
102	687	5986
103	690	5945
104	693	5907
105	694	5859
106	696	5809
107	698	5767
108	700	5728
109	704	5697
110	707	5669
111	710	5632
112	712	5589
113	717	5576
114	719	5534
115	723	5514
116	725	5473
117	728	5447
118	731	5416
119	738	5418
120	748	5435
121	749	5393
122	753	5369
123	758	5359
124	761	5329
125	771	5349
126	776	5337
127	779	5307
128	782	5284
129	785	5254
130	787	5225
131	790	5194
132	801	5227
133	804	5197
134	805	5164
135	808	5137
136	810	5107
137	821	5131
138	823	5100
139	831	5106
140	833	5076
141	834	5043
142	836	5012
143	838	4982
144	853	5032
145	857	5014
146	861	4996
147	863	4969
148	865	4940
149	866	4909
150	878	4938
151	881	4917
152	886	4906
153	888	4880
154	891	4858
155	893	4831
156	894	4803
157	902	4807
158	904	4782
159	910	4782
160	912	4756
161	914	4731
162	918	4717
163	922	4700
164	929	4702
165	931	4680
166	933	4656
167	936	4639
168	938	4613
169	939	4587
170	940	4561
171	942	4536
172	943	4511
173	945	4488
174	947	4465
175	948	4441
176	951	4422
177	959	4431
178	968	4444
179	970	4422
180	972	4399
181	973	4376
182	975	4354
183	976	4332
184	979	4313
185	981	4295
186	984	4281
187	993	4289
188	994	4267
189	996	4250
190	999	4231
191	1001	4213
192	1002	4193
193	1004	4173
194	1006	4155
195	1009	4141
196	1012	4127
197	1015	4112
198	1017	4096
199	1019	4077
200	1021	4060
201	1024	4046
202	1027	4033
203	1029	4015
204	1030	3996
205	1031	3977
206	1033	3958
207	1034	3940
208	1037	3925
209	1039	3909
210	1041	3893
211	1042	3875
212	1044	3857
213	1045	3839
214	1046	3821
215	1048	3804
216	1049	3786
217	1050	3770
218	1052	3752
219	1069	3792
220	1075	3791
221	1078	3777
222	1079	3761
223	1081	3744
224	1082	3728
225	1084	3714
226	1090	3714
227	1092	3697
228	1093	3681
229	1094	3665
230	1096	3650
231	1098	3636
232	1099	3620
233	1110	3634
234	1112	3622
235	1114	3606
236	1115	3591
237	1116	3576
238	1119	3565
239	1121	3551
240	1123	3538
241	1124	3523
242	1126	3508
243	1127	3493
244	1139	3510
245	1145	3511
246	1147	3497
247	1149	3486
248	1151	3473
249	1153	3460
250	1166	3479
251	1170	3473
252	1174	3466
253	1176	3454
254	1178	3443
255	1189	3457
256	1191	3444
257	1193	3431
258	1194	3417
259	1198	3410
260	1201	3401
261	1202	3387
262	1203	3373
263	1218	3397
264	1221	3388
265	1225	3380
266	1227	3370
267	1228	3356
